row_id,order_id,created_at,item_id,quantity,cust_id,delivery,add_id
1,40404b6a,2025-01-04 16:08:07,62,5,262,True,287
2,88eb6ab4,2025-01-04 08:52:27,236,1,965,True,24
3,6d3b43e9,2025-01-08 03:07:42,796,5,873,False,161
4,0d414dca,2025-01-09 23:28:12,171,2,574,True,790
5,b4234a7e,2025-01-08 22:56:04,965,5,130,False,334
6,fe9e4a99,2025-01-09 21:45:38,95,1,373,False,651
7,67c75d2c,2025-01-09 08:53:45,221,5,613,True,57
8,fcdf6c3d,2025-01-01 21:43:48,112,2,737,True,603
9,2ed32cad,2025-01-07 07:39:45,512,2,46,True,512
10,3e441621,2025-01-07 21:14:12,625,1,34,True,583
11,775d1ded,2025-01-10 04:27:41,852,2,798,True,217
12,16c597e1,2025-01-05 05:09:11,671,2,34,True,90
13,461293dd,2025-01-01 16:35:55,466,5,658,True,123
14,2acf8e23,2025-01-04 01:09:08,336,5,69,True,547
15,fbc6ddfe,2025-01-09 11:34:21,320,3,587,True,714
16,f2988f07,2025-01-10 04:19:18,645,5,215,True,804
17,c9937c80,2025-01-06 16:03:48,842,3,258,True,82
18,99bc58fd,2025-01-02 05:54:42,307,4,340,False,974
19,e7ee46d0,2025-01-07 10:54:11,239,2,328,True,475
20,bb9e8776,2025-01-04 04:19:18,462,4,200,False,333
21,82d62fb9,2025-01-08 21:31:22,713,4,21,False,384
22,d08e4efc,2025-01-01 03:17:49,281,3,533,False,914
23,fb625ac6,2025-01-08 22:00:05,749,3,840,True,403
24,ee5a0d4a,2025-01-08 17:02:28,438,1,81,True,125
25,32a41c15,2025-01-04 16:44:22,898,4,778,False,137
26,1da14f83,2025-01-01 14:29:44,571,1,487,False,740
27,60c8f67c,2025-01-02 20:46:55,266,1,175,True,190
28,ed4cb581,2025-01-08 18:09:43,168,3,126,True,679
29,bce7bd8f,2025-01-08 23:58:12,654,3,385,True,478
30,66442aeb,2025-01-03 16:43:29,838,1,117,False,461
31,db52f3c1,2025-01-03 14:18:47,234,2,5,False,219
32,15bb1695,2025-01-02 16:18:51,991,1,167,True,386
33,35adf4eb,2025-01-09 21:35:23,360,5,827,False,48
34,e84cfc62,2025-01-04 06:49:12,761,1,542,True,412
35,2e0a1541,2025-01-01 10:38:04,607,5,213,True,600
36,37d596b0,2025-01-07 15:19:23,296,4,53,False,6
37,0aba3ed2,2025-01-04 21:38:01,486,5,445,False,321
38,92ce9c56,2025-01-09 20:38:24,215,5,130,False,911
39,7e8b32f2,2025-01-10 14:41:54,83,3,593,False,499
40,1d82285f,2025-01-02 01:40:17,490,3,76,False,32
41,9fcf55a3,2025-01-07 03:09:24,883,3,37,True,886
42,0fe4a670,2025-01-01 00:25:00,91,3,216,False,155
43,fde8249d,2025-01-10 12:51:26,642,4,305,True,870
44,9b679445,2025-01-06 08:21:25,934,2,695,False,537
45,f904622e,2025-01-06 00:22:51,420,4,641,False,314
46,e547b153,2025-01-10 08:32:01,141,3,386,False,145
47,c81bc958,2025-01-08 12:41:37,928,2,805,True,837
48,47d72eab,2025-01-08 09:58:13,179,4,402,True,135
49,83b7fbb4,2025-01-02 16:43:37,489,2,879,False,104
50,60900479,2025-01-06 20:28:21,820,3,255,False,181
51,d0d61336,2025-01-07 18:54:01,814,5,416,True,972
52,9be33b93,2025-01-03 04:10:40,810,4,524,False,958
53,5ad790bb,2025-01-04 14:17:48,174,5,723,True,196
54,28c9e6bb,2025-01-06 21:30:10,675,3,405,True,332
55,a10d2acf,2025-01-06 18:09:50,707,5,570,False,920
56,7ef68f6d,2025-01-03 13:46:20,833,2,575,False,641
57,2cb06c37,2025-01-10 12:50:22,857,5,21,False,74
58,704b8e8d,2025-01-01 14:19:32,235,3,113,False,357
59,aa733993,2025-01-06 15:49:02,530,5,245,True,443
60,f18975d5,2025-01-05 00:18:31,718,1,362,False,156
61,112a1875,2025-01-01 13:13:07,720,1,400,True,729
62,94fd8073,2025-01-04 17:08:23,20,4,226,True,450
63,336dadb5,2025-01-02 18:24:42,805,4,267,False,869
64,7f68adc2,2025-01-07 15:36:53,714,5,673,False,957
65,651a361f,2025-01-01 11:28:02,13,3,846,True,356
66,09b29007,2025-01-05 05:18:02,219,3,751,True,270
67,d60828a0,2025-01-01 20:03:16,921,5,794,True,320
68,7598d42c,2025-01-05 15:01:04,279,3,263,False,245
69,041f5a32,2025-01-01 11:16:36,27,5,929,True,335
70,c1fa81df,2025-01-10 13:20:29,649,5,707,True,605
71,443e21ca,2025-01-06 11:40:22,744,1,319,False,177
72,7da9d15c,2025-01-06 05:48:07,815,3,758,True,176
73,deb6de83,2025-01-01 07:42:18,115,5,968,True,349
74,8863f68e,2025-01-01 19:25:59,718,1,806,False,676
75,4ad03bb9,2025-01-07 18:37:01,396,1,230,False,11
76,5f4e108d,2025-01-07 13:52:25,979,4,539,True,127
77,8678279b,2025-01-04 17:48:17,726,3,720,False,676
78,853a7485,2025-01-09 03:10:10,20,3,357,False,235
79,f23c5162,2025-01-07 17:24:50,897,1,148,False,237
80,1fb0482b,2025-01-09 04:50:18,628,5,659,False,973
81,856e5f35,2025-01-05 14:34:41,9,2,120,False,725
82,027d64bd,2025-01-08 10:22:15,814,2,77,False,608
83,4f31dfc2,2025-01-06 18:42:53,184,4,699,False,69
84,dd86c669,2025-01-04 17:41:03,76,1,561,True,899
85,a0c3123d,2025-01-07 14:47:27,200,3,747,True,232
86,e3a28a3e,2025-01-04 15:30:06,603,3,798,True,250
87,fef7ba82,2025-01-08 14:04:00,694,3,468,False,512
88,a3dc9908,2025-01-09 21:40:07,332,3,802,True,620
89,a673912e,2025-01-07 06:58:28,607,4,107,False,133
90,850990a3,2025-01-03 08:27:23,690,1,270,False,793
91,185fafb9,2025-01-09 05:49:11,60,1,402,False,503
